Name,Alignment,Gender,Race,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat,Power_Rank,Count
Blizzard,bad,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Blizzard,bad,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Blizzard II,bad,Male,undefined,175.0,77.0,38,10,27,42,47,56,220,1
Blob,bad,Male,undefined,178.0,230.0,10,83,23,95,26,72,309,1
Bloodaxe,bad,Female,Human,218.0,495.0,63,80,33,80,84,84,424,1
Bloodhawk,good,Male,Mutant,-99.0,-99.0,50,10,50,80,66,64,320,1
Bloodwraith,bad,Male,undefined,30.5,-99.0,1,1,1,1,0,1,5,1
Bolt,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Boomer,good,Female,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Box,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Box III,good,undefined,undefined,193.0,110.0,1,1,1,1,0,1,5,1
Box IV,good,undefined,undefined,-99.0,-99.0,50,75,23,28,11,56,243,1
Brother Voodoo,good,Male,Human,183.0,99.0,1,1,1,1,0,1,5,1
Bullseye,bad,Male,Human,183.0,90.0,50,11,25,70,20,70,246,1
Bumbleboy,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Cable,good,Male,Mutant,203.0,158.0,88,48,23,56,100,80,395,1
Callisto,bad,Female,undefined,175.0,74.0,63,53,23,42,45,85,311,1
Cannonball,good,Male,undefined,183.0,81.0,50,28,67,99,79,56,379,1
Captain America,good,Male,Human,188.0,108.0,63,19,35,56,46,100,319,1
Captain Britain,good,Male,Human,198.0,116.0,75,77,50,60,31,80,373,1
Captain Mar-vell,good,Male,undefined,188.0,108.0,1,1,1,1,0,1,5,1
Captain Marvel,good,Female,other,180.0,74.0,100,100,67,95,62,56,480,1
Captain Planet,good,Male,God / Eternal,-99.0,-99.0,1,1,1,1,0,1,5,1
Captain Universe,good,undefined,God / Eternal,-99.0,-99.0,1,1,1,1,0,1,5,1
Carnage,bad,Male,Symbiote,185.0,86.0,63,63,70,84,81,90,451,1
Cat,good,Female,undefined,173.0,61.0,1,1,1,1,0,1,5,1
Cat II,good,Female,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Cecilia Reyes,good,undefined,undefined,170.0,62.0,1,1,1,1,0,1,5,1
Century,good,Male,Alien,201.0,97.0,88,80,53,64,74,100,459,1
Cerebra,good,Female,Mutant,-99.0,-99.0,1,1,1,1,0,1,5,1
Chamber,good,Male,Mutant,175.0,63.0,50,10,20,80,57,64,281,1
Changeling,bad,Male,undefined,180.0,81.0,63,10,23,42,64,64,266,1
Clea,good,undefined,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Cloak,good,Male,undefined,226.0,70.0,63,10,47,64,74,56,314,1
Colossus,good,Male,Mutant,226.0,225.0,63,83,33,100,46,80,405,1
Corsair,good,Male,undefined,191.0,79.0,1,1,1,1,0,1,5,1
Crimson Crusader,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Crystal,good,Female,Inhuman,168.0,50.0,63,16,12,14,57,56,218,1
Cyclops,good,Male,Mutant,191.0,88.0,75,10,23,42,76,80,306,1
Cypher,good,undefined,undefined,175.0,68.0,1,1,1,1,0,1,5,1
Dagger,good,Female,undefined,165.0,52.0,63,10,35,42,52,70,272,1
Daredevil,good,Male,Human,183.0,90.0,75,13,27,28,57,95,295,1
Darkhawk,good,Male,Human,185.0,81.0,50,32,33,70,74,64,323,1
Darkstar,good,Female,Mutant,168.0,56.0,38,8,35,42,52,64,239,1
Dazzler,good,Female,Mutant,173.0,52.0,63,10,35,42,64,56,270,1
Deadpool,neutral,Male,Mutant,188.0,95.0,50,15,30,100,100,100,395,1
Deathlok,good,Male,other,193.0,178.0,69,32,30,70,40,60,301,1
Demogoblin,bad,Male,Demon,185.0,95.0,50,48,42,35,54,60,289,1
Destroyer,bad,Male,undefined,188.0,383.0,50,95,58,98,90,70,461,1
Doc Samson,good,Male,Human / Radiation,198.0,171.0,75,80,33,80,36,70,374,1
Doctor Doom,bad,Male,Human,201.0,187.0,100,32,20,100,93,84,429,1
Doctor Doom II,bad,Male,undefined,201.0,132.0,1,32,1,1,0,1,36,1
Doctor Octopus,bad,Male,Human,175.0,110.0,1,1,1,1,0,1,5,1
Doctor Strange,good,Male,Human,188.0,81.0,100,10,12,84,100,60,366,1
Domino,good,Female,Human,173.0,54.0,63,10,27,28,49,74,251,1
Doppelganger,bad,Male,undefined,196.0,104.0,8,63,60,95,62,84,372,1
Dormammu,bad,Male,undefined,185.0,-99.0,88,95,83,100,100,80,546,1
Ego,bad,undefined,undefined,-99.0,-99.0,88,80,83,99,71,28,449,1
Electro,bad,Male,Human,180.0,74.0,69,10,50,56,67,64,316,1
Elektra,good,Female,Human,175.0,59.0,63,11,30,28,59,100,291,1
Emma Frost,good,Female,undefined,178.0,65.0,75,63,35,90,82,42,387,1
Evilhawk,bad,Male,Alien,191.0,106.0,50,32,33,70,78,64,327,1
Exodus,bad,Male,Mutant,183.0,88.0,63,81,28,28,100,70,370,1
Fabian Cortez,bad,undefined,undefined,196.0,96.0,1,1,1,1,0,1,5,1
Falcon,good,Male,Human,188.0,108.0,38,13,50,28,22,64,215,1
Fallen One II,bad,Male,undefined,-99.0,-99.0,88,85,83,100,100,56,512,1
Feral,good,undefined,undefined,175.0,50.0,38,28,45,28,20,70,229,1
Fin Fang Foom,good,Male,other,975.0,18.0,50,81,23,100,68,70,392,1
Firebird,good,Female,undefined,165.0,56.0,38,8,40,14,90,42,232,1
Firelord,good,undefined,undefined,193.0,99.0,38,63,75,90,48,28,342,1
Firestar,good,Female,Mutant,173.0,56.0,50,8,54,55,71,32,270,1
Fixer,bad,undefined,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Forge,good,undefined,undefined,183.0,81.0,63,10,12,28,12,48,173,1
Franklin Richards,good,Male,Mutant,142.0,45.0,1,1,1,1,0,1,5,1
Franklin Storm,good,undefined,undefined,188.0,92.0,38,10,1,1,0,10,60,1
Frenzy,bad,Female,undefined,211.0,104.0,63,53,35,100,38,52,341,1
Frigga,good,Female,undefined,180.0,167.0,1,1,1,1,0,1,5,1
Galactus,neutral,Male,other,876.0,16.0,100,100,83,100,100,70,553,1
Gambit,good,Male,Mutant,185.0,81.0,63,10,23,28,55,84,263,1
Genesis,good,Male,undefined,185.0,86.0,1,1,1,1,0,1,5,1
Ghost Rider,good,Male,Demon,188.0,99.0,50,55,25,100,70,60,360,1
Ghost Rider II,good,undefined,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Giant-Man,good,Male,Human,-99.0,-99.0,1,1,1,1,0,1,5,1
Giant-Man II,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Goblin Queen,bad,Female,undefined,168.0,50.0,75,10,23,28,65,56,257,1
Goliath,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Goliath,good,Male,Human,-99.0,-99.0,1,1,1,1,0,1,5,1
Goliath,good,Male,Human,-99.0,-99.0,1,1,1,1,0,1,5,1
Goliath IV,good,Male,undefined,183.0,90.0,1,1,1,1,0,1,5,1
Gravity,good,Male,Human,178.0,79.0,50,32,33,40,72,30,257,1
Green Goblin,bad,Male,Human,180.0,83.0,75,48,35,48,38,28,272,1
Green Goblin II,bad,Male,undefined,178.0,77.0,75,55,37,50,38,26,281,1
Green Goblin III,good,Male,undefined,183.0,88.0,1,1,1,1,0,1,5,1
Green Goblin IV,good,Male,undefined,178.0,79.0,1,1,1,1,0,1,5,1
Groot,good,Male,other,701.0,4.0,75,85,33,70,92,64,419,1
Guardian,good,Male,Human,-99.0,-99.0,1,1,1,1,0,1,5,1
Havok,good,Male,Mutant,183.0,79.0,63,10,25,60,71,45,274,1
Hawkeye,good,Male,Human,191.0,104.0,50,12,23,14,26,80,205,1
Hawkeye II,good,Female,Human,165.0,57.0,50,6,8,10,24,50,148,1
Hellcat,good,Female,Human,173.0,61.0,50,10,23,42,18,70,213,1
Hellstorm,good,Male,undefined,185.0,81.0,1,1,1,1,0,1,5,1
Hercules,good,Male,other,196.0,146.0,63,100,46,85,67,100,461,1
Hobgoblin,bad,Male,undefined,180.0,83.0,1,1,1,1,0,1,5,1
Hollow,good,Female,undefined,170.0,-99.0,1,1,1,1,0,1,5,1
Hope Summers,good,Female,undefined,168.0,48.0,63,10,12,32,89,75,281,1
Howard the Duck,good,Male,undefined,79.0,18.0,1,1,1,1,0,1,5,1
Hulk,good,Male,Human / Radiation,244.0,630.0,88,100,47,100,41,85,461,1
Human Torch,good,Male,Human / Radiation,178.0,77.0,56,10,63,70,74,42,315,1
Husk,good,Female,Mutant,170.0,58.0,63,63,35,78,53,64,356,1
Hydro-Man,bad,Male,undefined,188.0,119.0,38,13,25,80,66,50,272,1
Hyperion,good,Male,Eternal,183.0,207.0,63,95,75,95,58,72,458,1
Iceman,good,Male,Mutant,173.0,65.0,63,32,53,100,100,64,412,1
Ink,good,Male,Mutant,180.0,81.0,38,28,17,40,66,50,239,1
Invisible Woman,good,Female,Human / Radiation,168.0,54.0,69,10,27,70,74,56,306,1
Iron Fist,good,Male,Human,180.0,79.0,75,23,35,42,43,100,318,1
Iron Man,good,Male,Human,198.0,191.0,100,85,58,85,100,64,492,1
Iron Monger,bad,Male,undefined,-99.0,2.0,88,63,25,90,57,56,379,1
Jack of Hearts,good,Male,Human,155.0,79.0,63,55,100,30,70,30,348,1
Jean Grey,good,Female,Mutant,168.0,52.0,100,80,67,100,100,70,517,1
Jennifer Kale,good,Female,undefined,168.0,55.0,75,10,35,42,61,72,295,1
Jigsaw,bad,Male,undefined,188.0,113.0,1,1,1,1,0,1,5,1
John Wraith,good,Male,undefined,183.0,88.0,75,12,35,28,65,80,295,1
Jolt,good,Female,undefined,165.0,49.0,63,12,27,32,31,42,207,1
Jubilee,good,Female,Mutant,165.0,52.0,56,8,22,20,66,90,262,1
Juggernaut,neutral,Male,Human,287.0,855.0,44,100,42,100,74,70,430,1
Junkpile,bad,Male,Mutant,-99.0,-99.0,50,38,17,90,71,30,296,1
Justice,good,Male,Human,178.0,81.0,50,10,33,70,55,30,248,1
Kang,bad,Male,undefined,191.0,104.0,100,48,58,70,71,70,417,1
Kingpin,bad,Male,Human,201.0,203.0,75,18,25,40,13,70,241,1
Klaw,bad,Male,Human,188.0,97.0,63,38,33,100,62,60,356,1
Kraven II,bad,Male,Human,191.0,99.0,50,34,23,28,36,85,256,1
Kraven the Hunter,bad,Male,Human,183.0,106.0,63,32,35,42,26,85,283,1
Lady Bullseye,bad,Female,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Lady Deathstrike,bad,Female,other,175.0,58.0,1,1,1,1,0,1,5,1
Leader,bad,Male,undefined,178.0,63.0,100,10,12,14,58,42,236,1
Leech,good,Male,undefined,-99.0,-99.0,25,5,12,14,62,14,132,1
Living Brain,bad,undefined,undefined,198.0,360.0,75,53,35,56,31,28,278,1
Lizard,bad,Male,Human,203.0,230.0,38,51,27,70,40,56,282,1
Loki,bad,Male,Asgardian,193.0,236.0,88,57,47,85,85,56,418,1
Longshot,good,Male,Human,188.0,36.0,50,10,27,10,71,70,238,1
Luke Cage,good,Male,Human,198.0,191.0,44,55,23,95,35,64,316,1
Luna,good,Female,Human,-99.0,-99.0,38,6,83,14,53,14,208,1
Lyja,good,Female,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Mach-IV,bad,Male,undefined,180.0,79.0,75,36,60,84,60,56,371,1
Machine Man,good,undefined,undefined,183.0,383.0,63,32,35,84,51,64,329,1
Magneto,bad,Male,Mutant,188.0,86.0,88,80,27,84,91,80,450,1
Magus,bad,Male,undefined,183.0,-99.0,88,100,70,99,100,74,531,1
Man-Thing,good,Male,undefined,213.0,225.0,50,32,8,100,98,40,328,1
Man-Wolf,good,Male,undefined,188.0,90.0,63,44,35,42,38,70,292,1
Mandarin,bad,Male,Human,188.0,97.0,100,28,23,28,99,95,373,1
Marvel Girl,good,Female,undefined,170.0,56.0,63,85,47,42,100,80,417,1
Maverick,good,Male,undefined,193.0,110.0,63,10,12,42,60,85,272,1
Medusa,good,Female,Inhuman,180.0,59.0,75,34,35,70,35,56,305,1
Meltdown,good,Female,undefined,165.0,54.0,38,10,12,42,58,64,224,1
Mephisto,bad,Male,undefined,198.0,140.0,88,85,35,95,100,42,445,1
Meteorite,good,Female,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Mimic,good,Male,undefined,188.0,101.0,63,67,47,56,79,42,354,1
Mister Fantastic,good,Male,Human / Radiation,185.0,81.0,100,10,18,70,32,64,294,1
Mister Sinister,bad,Male,Human / Altered,196.0,128.0,1,1,1,1,0,1,5,1
Molten Man,bad,Male,undefined,196.0,248.0,50,73,23,84,53,56,339,1
Moon Knight,good,Male,Human,188.0,101.0,50,36,23,42,28,75,254,1
Morlun,bad,Male,undefined,188.0,79.0,63,60,35,42,59,56,315,1
Morph,good,Male,undefined,178.0,79.0,1,1,1,1,0,1,5,1
Moses Magnum,bad,Male,undefined,175.0,72.0,75,28,12,42,55,56,268,1
Ms Marvel II,good,Female,undefined,173.0,61.0,38,63,23,84,11,56,275,1
Multiple Man,good,Male,undefined,180.0,70.0,63,11,23,70,28,62,257,1
Mystique,bad,Female,Mutant,178.0,54.0,75,12,23,64,58,74,306,1
Namor,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Namor,good,Male,other,188.0,125.0,1,1,1,1,0,1,5,1
Namora,good,Female,undefined,180.0,85.0,50,85,42,42,41,64,324,1
Namorita,good,Female,undefined,168.0,101.0,50,72,47,70,30,70,339,1
Nick Fury,good,Male,Human,185.0,99.0,75,11,23,42,25,100,276,1
Nightcrawler,good,Male,undefined,175.0,88.0,50,10,47,14,52,80,253,1
Northstar,good,Male,undefined,180.0,83.0,50,18,83,56,70,70,347,1
Nova,good,Male,Human,185.0,86.0,100,85,67,101,100,85,538,1
Nova,good,Male,Human,185.0,86.0,38,60,100,100,100,25,423,1
Nova,good,Female,Human / Cosmic,163.0,59.0,100,85,67,101,100,85,538,1
Nova,good,Female,Human / Cosmic,163.0,59.0,38,60,100,100,100,25,423,1
Omega Red,bad,Male,undefined,211.0,191.0,1,1,1,1,0,1,5,1
Onslaught,bad,Male,Mutant,305.0,405.0,88,85,47,100,100,85,505,1
Penance,good,undefined,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Penance I,good,Female,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Penance II,good,Male,undefined,183.0,89.0,1,1,1,1,0,1,5,1
Phoenix,good,Female,Mutant,168.0,52.0,100,80,67,100,100,70,517,1
Power Man,good,Male,Mutant,-99.0,-99.0,1,1,1,1,0,1,5,1
Professor X,good,Male,Mutant,183.0,86.0,100,8,12,14,90,32,256,1
Proto-Goblin,bad,Male,undefined,-99.0,-99.0,63,38,23,48,22,28,222,1
Psylocke,good,Female,Mutant,180.0,70.0,1,1,1,1,0,1,5,1
Punisher,good,Male,Human,183.0,90.0,50,16,23,28,22,100,239,1
Pyro,bad,Male,undefined,178.0,68.0,38,10,12,14,50,28,152,1
Quicksilver,good,Male,Mutant,183.0,79.0,63,28,100,60,57,56,364,1
Quill,good,Male,undefined,163.0,56.0,38,10,12,14,23,14,111,1
Razor-Fist II,bad,Male,undefined,191.0,117.0,1,1,1,1,0,1,5,1
Red Skull,bad,Male,undefined,188.0,108.0,75,10,12,14,19,80,210,1
Rhino,bad,Male,Human / Radiation,196.0,320.0,25,80,43,90,37,85,360,1
Ripcord,good,Female,undefined,180.0,72.0,1,1,1,1,0,1,5,1
Rocket Raccoon,good,Male,other,122.0,25.0,50,5,23,28,28,64,198,1
Rogue,good,Female,undefined,173.0,54.0,75,10,12,28,80,80,285,1
Ronin,good,Male,Human,191.0,104.0,38,10,27,32,21,90,218,1
Sabretooth,bad,Male,Mutant,198.0,171.0,55,53,25,90,28,100,351,1
Sage,good,Female,undefined,170.0,61.0,75,10,12,14,28,56,195,1
Sandman,neutral,Male,Human,185.0,203.0,50,75,47,97,62,56,387,1
Sasquatch,good,Male,undefined,305.0,900.0,75,80,23,56,15,42,291,1
Scarlet Spider,good,Male,Human,178.0,74.0,75,53,60,74,39,56,357,1
Scarlet Spider II,good,Male,other,193.0,113.0,88,55,60,40,30,56,329,1
Scarlet Witch,bad,Female,Mutant,170.0,59.0,88,10,23,42,67,28,258,1
Scorpia,bad,Female,undefined,-99.0,-99.0,38,28,42,28,34,28,198,1
Scorpion,bad,Male,Human,211.0,310.0,50,52,60,85,49,80,376,1
Shadow King,good,undefined,undefined,185.0,149.0,75,12,27,100,100,75,389,1
Shadowcat,good,Female,Mutant,168.0,50.0,88,8,21,25,69,70,281,1
Shang-Chi,good,Male,Human,178.0,79.0,63,12,30,50,25,100,280,1
Shatterstar,good,Male,undefined,191.0,88.0,63,48,45,64,42,84,346,1
She-Hulk,good,Female,Human,201.0,315.0,69,100,42,100,33,70,414,1
She-Thing,good,Female,Human / Radiation,183.0,153.0,1,1,1,1,0,1,5,1
Shocker,bad,Male,Human,175.0,79.0,63,10,23,70,63,56,285,1
Shriek,good,Female,undefined,173.0,52.0,50,10,23,28,45,42,198,1
Sif,good,Female,Asgardian,188.0,191.0,50,57,25,52,19,70,273,1
Silver Surfer,good,Male,Alien,193.0,101.0,63,100,84,101,100,32,480,1
Silverclaw,good,Female,undefined,157.0,50.0,50,28,35,42,34,42,231,1
Siryn,bad,Female,undefined,168.0,52.0,38,8,47,28,50,42,213,1
Skaar,good,Male,undefined,198.0,180.0,50,85,27,90,62,85,399,1
Snowbird,good,Female,undefined,178.0,49.0,50,32,27,42,63,52,266,1
Songbird,good,Female,undefined,165.0,65.0,75,36,27,42,55,56,291,1
Speedball,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Spider-Carnage,bad,Male,Symbiote,-99.0,-99.0,1,1,1,1,0,1,5,1
Spider-Girl,good,Female,Human,170.0,54.0,63,38,60,65,46,75,347,1
Spider-Man,good,Male,Human,178.0,74.0,88,55,60,74,58,85,420,1
Spider-Man,good,undefined,Human,178.0,77.0,88,55,60,74,58,85,420,1
Spider-Man,good,Male,Human,157.0,56.0,88,55,60,74,58,85,420,1
Spider-Woman,good,Female,Human,178.0,59.0,50,42,42,32,62,52,280,1
Spider-Woman II,good,Female,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Spider-Woman III,good,Female,undefined,173.0,55.0,50,48,27,42,60,28,255,1
Spider-Woman IV,bad,Female,undefined,178.0,58.0,1,1,1,1,0,1,5,1
Spyke,good,Male,Mutant,183.0,83.0,50,12,17,60,41,30,210,1
Stacy X,good,Female,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Stardust,good,Male,undefined,-99.0,-99.0,88,85,100,110,100,85,568,1
Storm,good,Female,Mutant,180.0,57.0,75,10,47,30,88,75,325,1
Sunspot,good,Male,Mutant,173.0,77.0,63,63,35,25,79,70,335,1
Synch,good,Male,undefined,180.0,74.0,75,67,23,28,74,56,323,1
Tempest,good,Female,undefined,163.0,54.0,38,10,45,28,62,60,243,1
Thanos,bad,Male,Eternal,201.0,443.0,88,100,17,100,100,80,485,1
Thing,good,Male,Human / Radiation,183.0,225.0,75,84,21,90,26,80,376,1
Thor,good,Male,Asgardian,198.0,288.0,69,100,92,100,100,85,546,1
Thor Girl,good,Female,Asgardian,175.0,143.0,75,83,70,84,100,70,482,1
Thunderbird,good,Male,undefined,185.0,101.0,50,32,27,32,14,70,225,1
Thunderbird II,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Thunderbird III,good,Male,undefined,175.0,74.0,1,1,1,1,0,1,5,1
Thunderstrike,good,Male,undefined,198.0,288.0,63,80,70,84,31,72,400,1
Thundra,good,Female,undefined,218.0,158.0,38,81,32,64,26,54,295,1
Tiger Shark,bad,Male,Human,185.0,203.0,38,72,42,70,21,28,271,1
Tigra,good,Female,undefined,178.0,81.0,63,32,53,38,33,90,309,1
Tinkerer,bad,Male,undefined,163.0,54.0,100,10,23,14,10,14,171,1
Toad,neutral,Male,Mutant,175.0,76.0,50,34,58,56,49,28,275,1
Toxin,good,Male,Symbiote,188.0,97.0,56,73,70,84,75,70,428,1
Toxin,good,Male,Symbiote,191.0,117.0,56,73,70,84,75,70,428,1
Ultragirl,good,Female,undefined,168.0,105.0,50,80,35,70,35,80,350,1
Ultron,bad,Male,Android,206.0,331.0,88,83,42,100,100,64,477,1
Utgard-Loki,bad,Male,other,15.2,58.0,50,80,23,84,72,64,373,1
Vagabond,good,Female,undefined,168.0,54.0,1,1,1,1,0,1,5,1
Valkyrie,good,Female,undefined,191.0,214.0,1,1,1,1,0,1,5,1
Vanisher,bad,Male,undefined,165.0,79.0,63,10,75,56,39,42,285,1
Venom,bad,Male,Symbiote,191.0,117.0,75,57,65,84,79,84,444,1
Venom II,bad,Male,undefined,175.0,50.0,50,57,47,70,54,56,334,1
Venom III,bad,Male,Symbiote,229.0,334.0,63,73,35,90,66,56,383,1
Vertigo II,good,Female,undefined,168.0,52.0,1,1,1,1,0,1,5,1
Vindicator,good,Female,Human,165.0,54.0,1,1,1,1,0,1,5,1
Vindicator,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Vision,good,Male,Android,191.0,135.0,100,72,54,95,76,70,467,1
Vision II,good,undefined,undefined,191.0,135.0,1,1,1,1,0,1,5,1
Vulcan,good,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Vulture,bad,Male,Human,180.0,79.0,63,22,47,56,40,56,284,1
Walrus,bad,Male,Human,183.0,162.0,50,28,8,50,11,20,167,1
War Machine,good,Male,Human,185.0,95.0,63,80,63,100,100,85,491,1
Warbird,good,Female,undefined,180.0,54.0,1,1,1,1,0,1,5,1
Warlock,good,Male,undefined,188.0,108.0,88,36,79,95,71,95,464,1
Warpath,good,Male,Mutant,218.0,158.0,38,72,47,70,26,84,337,1
Wasp,good,Female,Human,163.0,50.0,63,8,58,52,23,42,246,1
Watcher,good,Male,undefined,-99.0,-99.0,100,80,67,89,100,56,492,1
Weapon XI,bad,Male,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
White Queen,good,Female,undefined,178.0,65.0,1,1,1,1,0,1,5,1
Winter Soldier,good,Male,Human,175.0,117.0,56,32,35,65,60,84,332,1
Wiz Kid,good,undefined,undefined,140.0,39.0,1,1,1,1,0,1,5,1
Wolfsbane,good,Female,undefined,366.0,473.0,38,16,35,42,26,42,199,1
Wolverine,good,Male,Mutant,160.0,135.0,55,32,38,100,44,100,369,1
Wonder Man,good,Male,undefined,188.0,171.0,75,100,53,90,64,64,446,1
Wondra,good,Female,undefined,-99.0,-99.0,1,1,1,1,0,1,5,1
Wyatt Wingfoot,good,Male,undefined,196.0,117.0,10,10,12,1,1,56,90,1
X-23,good,Female,other,155.0,50.0,75,24,35,90,27,85,336,1
X-Man,good,Male,undefined,175.0,61.0,88,53,53,95,92,84,465,1
Yellow Claw,bad,Male,undefined,188.0,95.0,1,1,1,1,0,1,5,1
Yellowjacket,good,Male,Human,183.0,83.0,88,10,12,28,12,14,164,1
Yellowjacket II,good,Female,Human,165.0,52.0,50,10,35,28,31,28,182,1
Ymir,good,Male,other,304.8,-99.0,50,100,27,100,83,28,388,1
